hand,deal,advisor_seat,advisor_position,dealer_seat,street_reached,showdown,board,advisor_hole,advisor_chips,villain_chips,decisions,seat0_chips,seat1_chips,seat2_chips
29,9,2,BB,0,3,True,8d Qd 8h 9c 5d,3d 2d,93,-93,10,0,-93,93
30,10,0,BTN,0,1,False,4d 8d 9c,3s 7h,0,0,5,0,20,-20
31,10,1,SB,0,0,False,,8s 2h,-10,10,2,0,-10,10
32,10,2,BB,0,1,False,4d 8d 9c,6s Js,-20,20,5,0,20,-20
33,11,0,BTN,0,1,False,Jd 7c Ks,6s Qd,0,0,6,0,-20,20
34,11,1,SB,0,0,False,,2d 6d,-10,10,2,0,-10,10
35,11,2,BB,0,1,False,Jd 7c Ks,5s Jh,20,-20,6,0,-20,20
36,12,0,BTN,0,1,False,4c 6c 9c,7s Ad,60,-60,6,60,-10,-50
37,12,1,SB,0,0,False,,Tc 2h,-10,10,2,0,-10,10
38,12,2,BB,0,2,False,4c 6c 9c Ac,7h Jh,-80,80,8,0,80,-80
39,13,0,BTN,0,2,False,Kc 4h 7h Jc,Jd 8d,-50,50,10,-50,-275,325
40,13,1,SB,0,0,False,,5h 6d,-10,10,2,0,-10,10
41,13,2,BB,0,3,False,Kc 4h 7h Jc 7d,9d Ks,46,-46,11,0,-46,46
42,14,0,BTN,0,0,False,,8h 5s,0,0,4,0,-20,20
43,14,1,SB,0,0,False,,8d 6s,-10,10,2,0,-10,10
44,14,2,BB,0,2,False,6d 7d 9h 5c,As Tc,-80,80,7,0,80,-80
45,15,0,BTN,0,2,False,4c Ad Kh 4d,5d Th,0,0,8,0,-20,20
46,15,1,SB,0,2,False,4c Ad Kh 4d,7d 8h,-60,60,8,0,-60,60
47,15,2,BB,0,3,True,4c Ad Kh 4d 9c,Qs Td,20,-20,9,0,-20,20
48,16,0,BTN,0,3,True,6s 9c 5s Qh 8s,Qc Kd,142,-142,10,142,-10,-132
49,16,1,SB,0,3,True,6s 9c 5s Qh 8s,Th 8c,-10,10,11,505,-10,-495
50,16,2,BB,0,3,True,6s 9c 5s Qh 8s,4c 4h,-110,110,13,130,-20,-110
51,17,0,BTN,0,2,False,5s Ah 6d 2c,8c Th,60,-60,8,60,-10,-50
52,17,1,SB,0,0,False,,Qh 3s,-10,10,2,0,-10,10
53,17,2,BB,0,3,False,5s Ah 6d 2c Jc,Jh Tc,20,-20,10,0,-20,20
54,18,0,BTN,0,3,True,4d Ad 5c 7s 9s,6d Th,0,0,9,0,-40,40
55,18,1,SB,0,0,False,,Jc 2c,-10,10,2,0,-10,10
56,18,2,BB,0,3,True,4d Ad 5c 7s 9s,Tc Jh,20,-20,9,0,-20,20
57,19,0,BTN,0,0,False,,6d 7c,0,0,4,0,-20,20
58,19,1,SB,0,3,True,5c Ks 9h Tc 2d,9s Th,232,-232,9,0,232,-232
59,19,2,BB,0,2,False,5c Ks 9h Tc,Ac 8c,-560,560,9,0,560,-560
60,20,0,BTN,0,1,False,7c Jc Ah,9c 4c,0,0,5,0,20,-20
61,20,1,SB,0,0,False,,2c Ad,-10,10,2,0,-10,10
62,20,2,BB,0,1,False,7c Jc Ah,9h 6d,-20,20,5,0,20,-20
63,21,0,BTN,0,3,True,4c Ks 2c Kd Kc,Ts 5h,0,0,9,0,320,-320
64,21,1,SB,0,0,False,,2h 5s,-10,10,2,0,-10,10
65,21,2,BB,0,3,True,4c Ks 2c Kd Kc,7s Qh,-320,320,9,0,320,-320
66,22,0,BTN,0,1,False,4c 8h Kd,Kh 2s,0,0,6,0,-20,20
67,22,1,SB,0,0,False,,7c 6h,-10,10,2,0,-10,10
68,22,2,BB,0,3,True,4c 8h Kd 7d 9d,As 4h,-80,80,9,0,80,-80
69,23,0,BTN,0,3,False,Ks Tc 9c 2c Qh,Jd 7h,0,0,9,0,320,-320
70,23,1,SB,0,3,True,Ks Tc 9c 2c Qh,9h Ts,-2000,2000,12,2262,-2000,-262
71,23,2,BB,0,2,False,Ks Tc 9c 2c,Ad 8c,-20,20,8,-110,130,-20
72,24,0,BTN,0,3,True,Kd 8c Tc 9h 4h,Kc Jc,2010,-2010,12,2010,-10,-2000
73,24,1,SB,0,3,True,Kd 8c Tc 9h 4h,Qh 7d,-10,10,11,1905,-10,-1895
74,24,2,BB,0,1,False,Kd 8c Tc,5d Ac,-20,20,8,40,-20,-20
75,25,0,BTN,0,1,False,Th 2c 4d,Jh 5s,0,0,5,0,20,-20
76,25,1,SB,0,2,False,Th 2c 4d 3h,Ah Qc,60,-60,7,0,60,-60
77,25,2,BB,0,3,True,Th 2c 4d 3h 6h,6c 8d,80,-80,9,0,-80,80
78,26,0,BTN,0,1,False,6h 8c Kd,3s Ad,0,0,7,0,-120,120
79,26,1,SB,0,0,False,,5s Qs,-60,60,4,0,-60,60
80,26,2,BB,0,3,True,6h 8c Kd Ah Ks,Js Jc,269,-269,12,0,-269,269
81,27,0,BTN,0,0,False,,2h 8d,0,0,4,0,-20,20
82,27,1,SB,0,0,False,,Ts 4h,-10,10,2,0,-10,10
83,27,2,BB,0,3,True,9d 8s 6d 9h 4s,3c 3h,-20,20,9,0,20,-20
84,28,0,BTN,0,1,False,Ac Kh 7s,Tc 5d,0,0,5,0,20,-20
85,28,1,SB,0,0,False,,Ad Js,20,-20,3,0,20,-20
86,28,2,BB,0,1,False,Ac Kh 7s,4c 9d,-20,20,5,0,20,-20
87,29,0,BTN,0,2,False,Kh 6h 4d 8d,5c 9d,0,0,7,0,20,-20
88,29,1,SB,0,0,False,,5s 8h,-10,10,2,0,-10,10
89,29,2,BB,0,1,False,Kh 6h 4d,Jc Th,20,-20,6,0,-20,20
90,30,0,BTN,0,3,True,Kd Tc 8h Ad Qd,8c 6c,-1755,1755,9,-1755,-10,1765
91,30,1,SB,0,0,False,,5c Ts,-10,10,2,0,-10,10
92,30,2,BB,0,3,True,Kd Tc 8h Ad Qd,Qs As,1523.8095238095239,-1523.8095238095239,10,0.0,-1523.8095238095239,1523.8095238095239
93,31,0,BTN,0,0,False,,7c 2s,0,0,4,0,-20,20
94,31,1,SB,0,0,False,,9d 5d,-10,10,2,0,-10,10
95,31,2,BB,0,3,True,Jc 6c 4d Ad 5s,Qd 3c,-20,20,9,0,20,-20
96,32,0,BTN,0,3,False,7c 3c 2d 8h As,7d Kc,0,0,10,0,-20,20
97,32,1,SB,0,2,False,7c 3c 2d 8h,6s 9c,-10,10,9,105,-10,-95
98,32,2,BB,0,1,False,7c 3c 2d,4d 5h,-20,20,8,40,-20,-20
99,33,0,BTN,0,0,False,,8s 4c,0,0,4,0,-20,20
100,33,1,SB,0,0,False,,4d 7c,-10,10,2,0,-10,10
101,33,2,BB,0,3,False,Th 9c 5s 8h Ad,Qc As,20,-20,10,0,-20,20
102,34,0,BTN,0,3,True,4c Js 6h Th 3h,Jh 5d,0,0,11,0,1604,-1604
103,34,1,SB,0,0,False,,Ts 4s,-10,10,2,0,-10,10
104,34,2,BB,0,3,True,4c Js 6h Th 3h,8c 4d,-320,320,9,0,320,-320
105,35,0,BTN,0,1,False,5c Ad 8d,2h 9d,0,0,5,0,120,-120
106,35,1,SB,0,3,True,5c Ad 8d Kh 9h,7d 7s,60,-60,9,0,60,-60
107,35,2,BB,0,0,False,,Jh 7c,-20,20,3,0,20,-20
108,36,0,BTN,0,3,True,3h 5s Jh 8h 7s,9c 9d,60,-60,9,60,-10,-50
109,36,1,SB,0,1,False,3h 5s Jh,Th 5c,-10,10,6,30,-10,-20
110,36,2,BB,0,3,True,3h 5s Jh 8h 7s,2d Qs,-20,20,12,40,-20,-20
111,37,0,BTN,0,3,True,Ts 8c 2s 2c 2d,As 9s,-1755,1755,9,-1755,-10,1765
112,37,1,SB,0,3,True,Ts 8c 2s 2c 2d,Kh 4s,-10,10,11,-1595,-10,1605
113,37,2,BB,0,3,True,Ts 8c 2s 2c 2d,Tc 6h,2020,-2020,13,-2000,-20,2020
114,38,0,BTN,0,3,True,Qd 2d Qc Js 4c,8s 5s,0,0,13,0,-1800,1800
115,38,1,SB,0,0,False,,2c 6h,-10,10,2,0,-10,10
116,38,2,BB,0,3,True,Qd 2d Qc Js 4c,Kd Jc,812,-812,12,0,-812,812
117,39,0,BTN,0,1,False,Ad Qd 3s,9c Jh,-50,50,5,-50,70,-20
118,39,1,SB,0,3,True,Ad Qd 3s 3h 5s,6h 6d,255,-255,10,-235,255,-20
119,39,2,BB,0,3,True,Ad Qd 3s 3h 5s,9s 4c,-20,20,12,-20,40,-20
120,40,0,BTN,0,3,True,Ad 2d 6c 8d 4h,Jd Qd,2010,-2010,10,2010,-10,-2000
121,40,1,SB,0,0,False,,Kh 3d,-10,10,2,0,-10,10
122,40,2,BB,0,3,True,Ad 2d 6c 8d 4h,9d 8c,80,-80,10,0,-80,80
123,41,0,BTN,0,0,False,,Jd 3s,0,0,4,0,-20,20
124,41,1,SB,0,0,False,,2s 3d,-10,10,2,0,-10,10
125,41,2,BB,0,2,False,6h Qd Qc 5d,9s 9h,20,-20,8,0,-20,20
126,42,0,BTN,0,1,False,Th 8d 2d,5s Qh,0,0,5,0,20,-20
127,42,1,SB,0,3,True,Th 8d 2d 7s 6c,Ac 9c,1482,-1482,11,0,1482,-1482
128,42,2,BB,0,1,False,Th 8d 2d,5c 4d,-20,20,5,0,20,-20
129,43,0,BTN,0,3,True,Qd 4s Qs 2h 9s,5c 3h,0,0,10,0,-1520,1520
130,43,1,SB,0,1,False,Qd 4s Qs,6h 4h,-60,60,6,0,-60,60
131,43,2,BB,0,3,True,Qd 4s Qs 2h 9s,Qh 8c,2000,-2000,11,0,-2000,2000
132,44,0,BTN,0,3,True,Jh 2s 9h Ks 7s,Th Kh,1637.1428571428573,-1637.142857142857,10,1637.1428571428573,-1617.142857142857,-20.0
133,44,1,SB,0,0,False,,7c Kd,-10,10,2,0,-10,10
134,44,2,BB,0,3,True,Jh 2s 9h Ks 7s,9s 4c,-320,320,9,0,320,-320
135,45,0,BTN,0,1,False,5d 3d Kd,Tc Ac,-50,50,5,-50,-10,60
136,45,1,SB,0,3,True,5d 3d Kd 8d 8s,4h 9c,-10,10,9,30,-10,-20
137,45,2,BB,0,3,True,5d 3d Kd 8d 8s,Ah 7h,-20,20,12,40,-20,-20
138,46,0,BTN,0,3,True,3s 6d Qd 8h Tc,2c 4d,0,0,10,0,-320,320
139,46,1,SB,0,0,False,,4c 6h,-10,10,2,0,-10,10
140,46,2,BB,0,2,False,3s 6d Qd 8h,2d Td,-40,40,7,0,40,-40
141,47,0,BTN,0,0,False,,Ts 6h,0,0,4,0,-20,20
142,47,1,SB,0,2,False,Js Td Jc Ac,8c 5c,-250,250,8,0,-250,250
143,47,2,BB,0,3,False,Js Td Jc Ac Ah,Qd Kd,46,-46,11,0,-46,46
144,48,0,BTN,0,1,False,5s Qd Td,6c Jd,0,0,5,0,20,-20
145,48,1,SB,0,2,False,5s Qd Td Qc,Ts As,100,-100,7,0,100,-100
146,48,2,BB,0,1,False,5s Qd Td,7c 8s,-20,20,5,0,20,-20
147,49,0,BTN,0,3,True,5s Qs Jd 2d 9d,2s Th,0,0,9,0,20,-20
148,49,1,SB,0,2,False,5s Qs Jd 2d,Kc 2c,100,-100,7,0,100,-100
149,49,2,BB,0,3,True,5s Qs Jd 2d 9d,7c 8c,-20,20,9,0,20,-20
150,50,0,BTN,0,3,True,3h 5c 4c 2h 2c,5d 9d,0,0,9,0,40,-40
151,50,1,SB,0,0,False,,Kc 7d,-10,10,2,0,-10,10
152,50,2,BB,0,3,True,3h 5c 4c 2h 2c,7s 9h,-40,40,9,0,40,-40
153,51,0,BTN,0,1,False,2c As Kd,6d 3c,0,0,6,0,-20,20
154,51,1,SB,0,0,False,,5c 9s,-10,10,2,0,-10,10
155,51,2,BB,0,3,True,2c As Kd Ts 4s,2d Qs,20,-20,9,0,-20,20
156,52,0,BTN,0,3,True,As 7d 8h 6c Kd,9h 7h,-1967,1967,10,-1967,2017,-50
157,52,1,SB,0,0,False,,Ts Ad,40,-40,4,-20,40,-20
158,52,2,BB,0,3,True,As 7d 8h 6c Kd,3h 4s,-20,20,11,-1694,1714,-20
159,53,0,BTN,0,3,True,Td 3s As Ah Qs,2c 4d,0,0,9,0,-20,20
160,53,1,SB,0,0,False,,7d 8h,-10,10,2,0,-10,10
161,53,2,BB,0,3,True,Td 3s As Ah Qs,9s 6h,20,-20,9,0,-20,20
162,54,0,BTN,0,3,False,Ad Jc 6c Tc As,4h 5s,0,0,11,0,-140,140
163,54,1,SB,0,0,False,,7d Qc,-10,10,2,0,-10,10
164,54,2,BB,0,1,False,Ad Jc 6c,9c Td,20,-20,6,0,-20,20
165,55,0,BTN,0,2,False,Qs 2d 5c 8d,7c Ac,-50,50,7,-50,-10,60
166,55,1,SB,0,3,True,Qs 2d 5c 8d 3d,4s Kh,-10,10,9,-20,-10,30
167,55,2,BB,0,3,True,Qs 2d 5c 8d 3d,6h 2s,40,-40,12,-20,-20,40
168,56,0,BTN,0,1,False,5h 6s As,7h 6d,0,0,5,0,20,-20
169,56,1,SB,0,3,False,5h 6s As Jc Jd,9d 9s,100,-100,9,0,100,-100
170,56,2,BB,0,1,False,5h 6s As,3c 8s,-20,20,5,0,20,-20
171,57,0,BTN,0,3,True,3d 7d Ah Ad 5s,Ts Kd,-50,50,12,-50,-50,100
172,57,1,SB,0,3,False,3d 7d Ah Ad 5s,Kh 8d,-100,100,10,0,-100,100
173,57,2,BB,0,2,False,3d 7d Ah Ad,9h 5c,-20,20,7,0,20,-20
174,58,0,BTN,0,3,True,Kh 4d Tc Qd Ts,9s As,-1755,1755,9,-1755,-10,1765
175,58,1,SB,0,3,True,Kh 4d Tc Qd Ts,6s 2d,-10,10,10,-1995,-10,2005
176,58,2,BB,0,3,True,Kh 4d Tc Qd Ts,4h Kd,386,-386,11,-366,-20,386
177,59,0,BTN,0,2,False,4d 9s 2c Ac,Td 8d,-215,215,7,-215,-10,225
178,59,1,SB,0,0,False,,2d 8s,-10,10,2,0,-10,10
179,59,2,BB,0,3,True,4d 9s 2c Ac 3d,Qs 4s,90,-90,10,0,-90,90
180,60,0,BTN,0,0,False,,Qs 7c,0,0,4,0,-20,20
181,60,1,SB,0,0,False,,2c Td,-10,10,2,0,-10,10
182,60,2,BB,0,3,True,2h Js 3s 5h 6d,8d Ad,-20,20,9,0,20,-20
183,61,0,BTN,0,1,False,Jd 6s 9d,3s 4c,0,0,6,0,-20,20
184,61,1,SB,0,0,False,,Kc 3c,20,-20,3,0,20,-20
185,61,2,BB,0,1,False,Jd 6s 9d,9s 4s,20,-20,6,0,-20,20
186,62,0,BTN,0,3,True,6s 9h 2s Kd 3c,7s Qs,142,-142,10,142,-10,-132
187,62,1,SB,0,3,False,6s 9h 2s Kd 3c,Kh 2h,60,-60,9,0,60,-60
188,62,2,BB,0,2,False,6s 9h 2s Kd,8h Td,-40,40,7,0,40,-40
189,63,0,BTN,0,3,True,5s Ah 8c 2s Tc,6c Ac,2275,-2275,14,2275,-275,-2000
190,63,1,SB,0,3,True,5s Ah 8c 2s Tc,Jc 5d,-10,10,10,1905,-10,-1895
191,63,2,BB,0,3,True,5s Ah 8c 2s Tc,Ks 5h,-1820,1820,15,2380,-560,-1820
192,64,0,BTN,0,3,False,Qc Ks 3c 4d 7h,9d 2s,0,0,10,0,-20,20
193,64,1,SB,0,3,False,Qc Ks 3c 4d 7h,5h Ad,-150,150,10,0,-150,150
194,64,2,BB,0,1,False,Qc Ks 3c,6c 5c,20,-20,6,0,-20,20
195,65,0,BTN,0,0,False,,2c 9h,0,0,4,0,-20,20
196,65,1,SB,0,0,False,,7s 4h,-10,10,2,0,-10,10
197,65,2,BB,0,3,True,5h Qd 6h 6d 7h,Td Ac,-20,20,9,0,20,-20
198,66,0,BTN,0,3,False,2s 4d 8d 4s As,Ah 5d,100,-100,14,100,-50,-50
199,66,1,SB,0,3,True,2s 4d 8d 4s As,Kd 7d,60,-60,9,0,60,-60
200,66,2,BB,0,3,True,2s 4d 8d 4s As,9d 5h,-20,20,9,0,20,-20
201,67,0,BTN,0,3,True,Ad 9c Jc 4c 2d,9s 4s,0,0,12,0,-1920,1920
202,67,1,SB,0,0,False,,Tc Kd,-60,60,4,0,-60,60
203,67,2,BB,0,3,True,Ad 9c Jc 4c 2d,Ks Ah,248,-248,12,0,-248,248
204,68,0,BTN,0,1,False,3h 5s Jd,Ks Jc,60,-60,6,60,-10,-50
205,68,1,SB,0,2,False,3h 5s Jd 2d,Kh 4h,-382,382,10,402,-382,-20
206,68,2,BB,0,1,False,3h 5s Jd,8d 6d,-20,20,8,40,-20,-20
207,69,0,BTN,0,3,True,5s 9s Qc Qh Qs,Jd 8s,0,0,9,0,-20,20
208,69,1,SB,0,0,False,,6h 2h,-10,10,2,0,-10,10
209,69,2,BB,0,3,True,5s 9s Qc Qh Qs,7s 2d,20,-20,9,0,-20,20
210,70,0,BTN,0,2,False,Ts 2h Qd As,Jh 6h,-78,78,7,-78,-10,88
211,70,1,SB,0,2,False,Ts 2h Qd As,Td Qc,-250,250,8,0,-250,250
212,70,2,BB,0,1,False,Ts 2h Qd,5c Ad,-170,170,7,0,170,-170
213,71,0,BTN,0,2,False,9s Jd 4h 3c,Th Ks,-78,78,7,-78,-10,88
214,71,1,SB,0,0,False,,9d 2h,-10,10,2,0,-10,10
215,71,2,BB,0,3,True,9s Jd 4h 3c 3s,4s Tc,-1280,1280,9,0,1280,-1280
216,72,0,BTN,0,3,True,2h Kd 4s 4h 6s,Kh 8d,2010,-2010,10,2010,-10,-2000
217,72,1,SB,0,0,False,,9h 3c,-10,10,2,0,-10,10
218,72,2,BB,0,1,False,2h Kd 4s,Ac 6d,20,-20,6,0,-20,20
219,73,0,BTN,0,1,False,Jd Qs 9h,2s 2c,60,-60,6,60,-10,-50
220,73,1,SB,0,0,False,,8s Jh,-10,10,2,0,-10,10
221,73,2,BB,0,1,False,Jd Qs 9h,5h 7c,-20,20,5,0,20,-20
222,74,0,BTN,0,0,False,,4c Jd,0,0,4,0,-20,20
223,74,1,SB,0,0,False,,6d 7c,-10,10,2,0,-10,10
224,74,2,BB,0,3,True,Ks 2d 5d As Td,7h Jh,20,-20,9,0,-20,20
225,75,0,BTN,0,2,False,Kh 8h As 2c,Th 9d,-215,215,7,-215,-10,225
226,75,1,SB,0,0,False,,7h 6d,-10,10,2,0,-10,10
227,75,2,BB,0,1,False,Kh 8h As,8c 8d,20,-20,6,0,-20,20
228,76,0,BTN,0,3,True,Jd 4c 8s 7c Qc,As 9c,-50,50,13,-50,-1967,2017
229,76,1,SB,0,3,True,Jd 4c 8s 7c Qc,Ac 9s,10,-10,12,10,10,-20
230,76,2,BB,0,3,False,Jd 4c 8s 7c Qc,Js 4d,358,-358,15,-179,-179,358
231,77,0,BTN,0,1,False,4d 5c 2s,6h 3c,0,0,5,0,20,-20
232,77,1,SB,0,2,False,4d 5c 2s 3h,As 4h,60,-60,7,0,60,-60
233,77,2,BB,0,1,False,4d 5c 2s,9h Qs,-20,20,5,0,20,-20
234,78,0,BTN,0,1,False,Kc Ks 9d,Td 2d,0,0,7,0,-120,120
235,78,1,SB,0,0,False,,6c 5d,-10,10,2,0,-10,10
236,78,2,BB,0,1,False,Kc Ks 9d,Kd Qd,20,-20,6,0,-20,20
237,79,0,BTN,0,1,False,7c 6c 5c,Ac 3c,70,-70,6,70,-50,-20
238,79,1,SB,0,0,False,,5s Kh,-10,10,2,0,-10,10
239,79,2,BB,0,2,False,7c 6c 5c Kd,2d Th,-20,20,7,0,20,-20
240,80,0,BTN,0,3,True,6h 8s 5c 7h 7d,Kc 7c,-1967,1967,10,-1967,2017,-50
241,80,1,SB,0,3,True,6h 8s 5c 7h 7d,9s 7s,2020,-2020,12,-2000,2020,-20
242,80,2,BB,0,3,True,6h 8s 5c 7h 7d,3h 9d,-20,20,10,-1910,1930,-20
243,81,0,BTN,0,2,False,6c 4c 5s 9h,8h 4s,0,0,7,0,40,-40
244,81,1,SB,0,3,True,6c 4c 5s 9h 8d,As 5h,-240,240,10,0,-240,240
245,81,2,BB,0,2,False,6c 4c 5s 9h,Qs 8c,-60,60,8,0,60,-60
246,82,0,BTN,0,3,True,Ks Qh 3h Ts Kh,Kc 5d,0,0,9,0,-20,20
247,82,1,SB,0,3,True,Ks Qh 3h Ts Kh,5s 4s,-250,250,9,0,-250,250
248,82,2,BB,0,3,True,Ks Qh 3h Ts Kh,Jd 2d,20,-20,9,0,-20,20
249,83,0,BTN,0,3,True,Ad Tc 4h 8c 8h,4d Ts,0,0,11,0,1604,-1604
250,83,1,SB,0,3,True,Ad Tc 4h 8c 8h,5s Ac,1615,-1615,10,0,1615,-1615
251,83,2,BB,0,3,True,Ad Tc 4h 8c 8h,Th 3d,-1280,1280,9,0,1280,-1280
252,84,0,BTN,0,3,True,Ks Js 9h Th Kd,8s 3h,0,0,9,0,0,0
253,84,1,SB,0,0,False,,4c Jh,-10,10,2,0,-10,10
254,84,2,BB,0,3,True,Ks Js 9h Th Kd,3s Jc,0,0,9,0,0,0
255,85,0,BTN,0,0,False,,6s 4c,0,0,4,0,-20,20
256,85,1,SB,0,1,False,Jh Td 4s,8d 5d,-100,100,6,0,-100,100
257,85,2,BB,0,1,False,Jh Td 4s,Qs Jd,20,-20,6,0,-20,20
258,86,0,BTN,0,1,False,Kc 6c Th,8s 4d,0,0,5,0,20,-20
259,86,1,SB,0,0,False,,Qh 6d,-10,10,2,0,-10,10
260,86,2,BB,0,1,False,Kc 6c Th,3d Js,-20,20,5,0,20,-20
261,87,0,BTN,0,3,True,Ah Ts Qh 5s 3d,4h Qd,0,0,11,0,-1604,1604
262,87,1,SB,0,3,True,Ah Ts Qh 5s 3d,9h Kh,-1740,1740,12,0,-1740,1740
263,87,2,BB,0,3,True,Ah Ts Qh 5s 3d,As 7s,557,-557,11,0,-557,557
264,88,0,BTN,0,3,False,4d 7c 4c Kh 5d,Qc 3c,-543,543,10,-543,-10,553
265,88,1,SB,0,2,False,4d 7c 4c Kh,Qs 9c,-60,60,8,0,-60,60
266,88,2,BB,0,3,True,4d 7c 4c Kh 5d,Qd Kd,107,-107,11,0,-107,107
267,89,0,BTN,0,3,True,3c 7s 7c 5h Jc,6d Kh,0,0,10,0,-120,120
268,89,1,SB,0,3,True,3c 7s 7c 5h Jc,4s Qd,-10,10,10,-120,-10,130
269,89,2,BB,0,3,True,3c 7s 7c 5h Jc,Ks 8c,40,-40,12,-20,-20,40
270,90,0,BTN,0,3,True,2s 5s Qc 9c 3h,4h Tc,0,0,11,0,-1604,1604
271,90,1,SB,0,0,False,,6c 6d,20,-20,3,0,20,-20
272,90,2,BB,0,3,True,2s 5s Qc 9c 3h,9s 7h,320,-320,9,0,-320,320
273,91,0,BTN,0,3,True,6h Ts 9c 5h 8h,9d Kh,142,-142,10,142,-10,-132
274,91,1,SB,0,2,False,6h Ts 9c 5h,Ad 3s,-10,10,9,105,-10,-95
275,91,2,BB,0,1,False,6h Ts 9c,4d Ac,-20,20,8,40,-20,-20
276,92,0,BTN,0,3,True,6c 8c Kc Jh 4h,Tc 3s,0,0,11,0,-160,160
277,92,1,SB,0,0,False,,Qd 3c,-10,10,2,0,-10,10
278,92,2,BB,0,3,True,6c 8c Kc Jh 4h,8d 7s,20,-20,9,0,-20,20
279,93,0,BTN,0,2,False,5h Kh 5c 6d,2d 4h,0,0,8,0,-20,20
280,93,1,SB,0,0,False,,3d 8s,-10,10,2,0,-10,10
281,93,2,BB,0,3,True,5h Kh 5c 6d Ac,7d 6s,20,-20,9,0,-20,20
282,94,0,BTN,0,3,False,7d Th 8h Qd Ks,Qs 2h,0,0,9,0,20,-20
283,94,1,SB,0,0,False,,4s Kh,-10,10,2,0,-10,10
284,94,2,BB,0,3,False,7d Th 8h Qd Ks,4h Ad,-20,20,9,0,20,-20
285,95,0,BTN,0,3,True,Jd 5h Td Ks 4h,Ah 2s,0,0,10,0,-1920,1920
286,95,1,SB,0,0,False,,Jh 8d,-10,10,2,0,-10,10
287,95,2,BB,0,3,True,Jd 5h Td Ks 4h,Ts Kh,2000,-2000,10,0,-2000,2000
288,96,0,BTN,0,3,True,2h Th 5h 7s 4h,6c 9s,0,0,10,0,120,-120
289,96,1,SB,0,0,False,,Kc 4d,-10,10,2,0,-10,10
290,96,2,BB,0,1,False,2h Th 5h,Jd Ks,20,-20,6,0,-20,20
291,97,0,BTN,0,3,True,8h 2h 4h 4c 2c,Qh 7s,0,0,9,0,0,0
292,97,1,SB,0,0,False,,3s 7h,-10,10,2,0,-10,10
293,97,2,BB,0,1,False,8h 2h 4h,6h 7c,20,-20,6,0,-20,20
294,98,0,BTN,0,3,True,6d Kh 7c Kc Ac,5h Tc,0,0,9,0,20,-20
295,98,1,SB,0,0,False,,Qh 4d,-10,10,2,0,-10,10
296,98,2,BB,0,3,True,6d Kh 7c Kc Ac,8d 3d,-20,20,9,0,20,-20
